id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
690401875116871304,Spacious & Elegant NY home with 4 Beds by the park,468540164,Yvette,Manhattan,Harlem,40.80236,-73.9562,Entire home/apt,498,5,13,2022-12-19,2.1,1,0,13,
3581153,Modern 1BD Chelsea Apartment,18038832,Crystal & John,Manhattan,Chelsea,40.74766,-73.99434,Entire home/apt,230,30,33,2019-12-27,0.32,1,0,0,
754967600147378728,Exclusive Private Room 820 | Shared Bathroom Only,401202937,Eliza,Manhattan,Midtown,40.74776,-73.98661,Private room,59,1,1,2022-11-21,0.28,53,242,1,
53507277,Sex and the City style West Village 1 bedroom apt,13784676,Morgan,Manhattan,West Village,40.73101,-74.00284,Entire home/apt,238,21,1,2022-01-16,0.07,1,82,0,
808629343999219473,CW Midtown 45 Resort | King Bed Studio Suite,442029804,Live Suite,Manhattan,Midtown,40.753533802301575,-73.97319372738554,Entire home/apt,289,30,0,,,29,151,0,
4801661,Another Large Room in Midtown Apartment,9864136,Anthony,Manhattan,Kips Bay,40.74267,-73.97995,Private room,98,30,39,2020-03-18,0.4,28,65,0,
36279030,Good-looking Room,272602584,Cherry,Manhattan,Kips Bay,40.74127,-73.98244,Private room,65,30,1,2020-01-26,0.03,1,0,0,
827816003852494737,Bedroom in LES Luxury building,114216912,Zander,Manhattan,Lower East Side,40.71712,-73.98909,Private room,168,30,0,,,2,365,0,
762780213003267628,"Kips Bay 1br w/ doorman & w/d, nr East River",107434423,Blueground,Manhattan,Kips Bay,40.7379534,-73.9733511,Entire home/apt,240,31,0,,,526,337,0,
12006770,East Village- The location,14731964,Pete,Manhattan,Gramercy,40.73293,-73.98574,Private room,100,30,72,2022-11-30,1.02,1,179,2,
32039742,Trendy Private Bedroom in Upper West Side 107 24-1,240207968,Jocelyn,Manhattan,Upper West Side,40.79928,-73.96027,Private room,128,30,0,,,2,0,0,
51164192,3bed 1.5 bath best location fast Wi-Fi,414079399,Taylor,Manhattan,Kips Bay,40.74214,-73.98223,Entire home/apt,376,4,41,2023-02-17,2.15,2,231,26,
49377125,"Murray Hill 1br w/ Doorman, Gym, Pool",107434423,Blueground,Manhattan,Murray Hill,40.74885,-73.97319,Entire home/apt,327,31,1,2022-12-18,0.38,526,354,1,
714527517050377664,3 BR Apt in Murray Hill w/ Balcony & River Views,2867137,Avi,Manhattan,Kips Bay,40.74269,-73.97373,Entire home/apt,275,30,0,,,88,205,0,
19162321,Large Manhattan 1BR/BA w breathtaking views of NYC,55656242,Owen,Manhattan,Harlem,40.80883,-73.95196,Entire home/apt,242,1,34,2023-02-28,2.33,1,77,32,
19699039,Super Nice and Cool One Bedroom in LES,24835386,Atif,Manhattan,Lower East Side,40.7198,-73.98669,Entire home/apt,150,12,9,2021-11-25,0.13,1,2,0,
5029202,"Spacious 2 Bedroom, 2 Bath, 5th Avenue Entire Apt",14362471,Andy,Manhattan,East Harlem,40.79706,-73.94769,Entire home/apt,220,30,7,2022-06-04,0.07,3,24,1,
45175117,1 bedroom. Balcony. Elevator. Soho/Little Italy.,4176838,Jeff,Manhattan,Lower East Side,40.71891,-73.99283,Entire home/apt,139,18,2,2020-11-24,0.07,1,12,0,
9778579,LES sweet bedroom (Female only),50411330,Sophia,Manhattan,Lower East Side,40.71504,-73.98879,Private room,45,30,2,2016-06-22,0.02,1,0,0,
12272850,Stunning 2 BEDROOM Luxury Finishes &  Washer Dryer,61391963,Stay With Vibe,Manhattan,Kips Bay,40.74001,-73.97811,Entire home/apt,133,30,16,2022-08-31,0.22,124,340,2,
770939745976357312,Sunlit Central Harlem Condo,489589484,Sabrina,Manhattan,East Harlem,40.80963,-73.93739,Private room,90,1,0,,,1,339,0,
20780311,Cozy Apartment in Washington Heigths,106863782,Mariarosa,Manhattan,Washington Heights,40.85251,-73.92876,Entire home/apt,130,2,2,2017-11-05,0.03,1,0,0,
824695573860547418,3BR Apt in UWS close to Whole Foods & Central Park,450580547,Hannah M.,Manhattan,Upper West Side,40.795679120743806,-73.96884935436178,Entire home/apt,205,30,0,,,39,270,0,
764858433761210244,Cozy Nest in Uptown near Subway,488556209,Maria,Manhattan,Harlem,40.8183,-73.94126,Private room,58,1,11,2023-02-28,3.55,3,161,11,
16493084,Bedroom (KING) & private bath - Brand New & Modern,7427325,Jenia,Manhattan,Hell's Kitchen,40.7649,-73.99517,Private room,200,30,20,2017-06-29,0.27,2,0,0,
52553488,Shoreham Hotel - Petite Unit right in NYC!,423873487,Shoreham,Manhattan,Midtown,40.76273,-73.97749,Entire home/apt,219,1,43,2023-01-17,2.58,44,0,32,
552118471103353756,The Hunter VII,61391963,Stay With Vibe,Manhattan,Upper East Side,40.76776,-73.9583,Entire home/apt,133,30,1,2022-12-04,0.32,124,0,1,
785589199326964941,Upscale Midtown Penthouse 1BR w River Views,30283594,Global Luxury Suites,Manhattan,Hell's Kitchen,40.76153,-73.99878,Entire home/apt,469,30,0,,,51,317,0,
2626457,Cozy Private Room Upper West Side - with Deck!,13451102,Ronnie,Manhattan,Upper West Side,40.79861,-73.96793,Private room,87,2,358,2023-02-13,3.32,1,27,38,
40302355,Upper West Manhattan 1B1B near Columbia University,257908724,Minhao,Manhattan,Morningside Heights,40.8044,-73.96574,Entire home/apt,50,1000,3,2020-01-29,0.08,1,0,0,
578117330434188987,109-11 Amazing Best Value Spacious 2br NYC Apt,27181542,Jt,Manhattan,East Harlem,40.79308,-73.9413,Entire home/apt,115,30,1,2022-05-04,0.1,29,326,1,
52861792,Art & Plants,74944205,Lenin,Manhattan,Hell's Kitchen,40.75509,-73.99193,Entire home/apt,345,4,13,2023-01-02,0.8,1,133,9,
18518380,Beautiful One Bed in Charming Gramercy Neighborhood,22541573,Ken,Manhattan,Gramercy,40.73878,-73.9844,Entire home/apt,291,30,2,2019-12-15,0.04,113,359,0,
33428552,Suite Houston - Free Street Parking & WIFI,219738858,U P,Manhattan,East Village,40.72248,-73.98365,Entire home/apt,130,180,11,2021-08-17,0.23,3,188,0,
21583199,Charming Apartment by Central Park & Museum Mile.,37750296,Gene,Manhattan,East Harlem,40.79438,-73.94787,Entire home/apt,165,30,110,2020-02-20,1.69,1,180,0,
19768829,"Cozy 1 bedroom apt, Quiet, Near metro, East side",3792860,Elena,Manhattan,Upper East Side,40.76954,-73.95509,Entire home/apt,180,30,0,,,2,0,0,
670783006675700484,"Prime location, cozy 1 bedroom",143865128,Joanna,Manhattan,Midtown,40.7547,-73.96735,Entire home/apt,281,10,4,2022-09-17,0.61,2,3,4,
577550080071846331,Two Bedroom + Two Bath Apartment with Gym Onsite,293753583,Pod,Manhattan,Hell's Kitchen,40.75739,-73.99271,Entire home/apt,300,30,1,2022-12-19,0.38,7,35,1,
51821915,"Beautiful 1BR Apt in Midtown East |  Terrace, Gym & More",163251048,Global Luxury,Manhattan,Midtown,40.755878,-73.963348,Entire home/apt,545,30,1,2021-12-14,0.07,17,346,0,
585585178003666988,Large & Bright 1 BR with Skylight & Fireplace,154032932,Patrick,Manhattan,Chelsea,40.74993,-73.99764,Entire home/apt,540,3,4,2023-01-02,1.32,1,338,4,
30156908,"LONG TERM RENTAL,STUDIO N3 IN THE VILLAGE",27636707,Gaia&Pietro,Manhattan,West Village,40.73275,-74.00549,Entire home/apt,143,30,40,2023-02-20,0.78,7,172,4,
655788123278001986,“Time Square”42nd Street. King Size Private Room,30985759,Taz,Manhattan,Hell's Kitchen,40.75799,-73.99183,Private room,111,1,23,2023-02-21,2.82,4,90,23,
14520743,SPACIOUS room TIME SQUARE,33518883,Melina,Manhattan,Hell's Kitchen,40.76053,-73.99111,Private room,95,30,23,2017-08-31,0.29,2,0,0,
651383983309519498,Lovely One Bedroom in NYC Brownstone,5376008,Marie,Manhattan,Harlem,40.8138,-73.94536,Entire home/apt,181,4,15,2022-12-24,1.79,1,301,15,
17543905,P,7976263,Amelia,Manhattan,Chelsea,40.7456,-73.99243,Private room,100,30,3,2017-04-12,0.04,1,0,0,
38085023,Clean apartment in New York’s coolest area!,30916064,Linda,Manhattan,East Village,40.72285,-73.98833,Private room,60,30,0,,,1,0,0,
51667867,Lovely 3 bedroom Apartment in NYC,393474028,Rogelia Jelyn,Manhattan,Upper East Side,40.76947,-73.96001,Entire home/apt,210,30,0,,,9,309,0,
758912941521101944,"Quiet 1 Bedroom Flat + Balcony in Manhattan, NYC",487473676,Jamie,Manhattan,Harlem,40.81296,-73.95263,Entire home/apt,137,1,12,2023-02-14,3.64,1,10,12,
44845241,Artist Penthouse & Showroom,1850631,Tripp,Manhattan,Lower East Side,40.71981,-73.97859,Entire home/apt,320,3,28,2023-02-19,0.95,1,0,3,
553704474244404762,Lovely 4 bedroom Apartment in New York City,393474028,Rogelia Jelyn,Manhattan,Hell's Kitchen,40.75553,-73.99589,Entire home/apt,235,30,0,,,9,120,0,
714476706929558297,"No Extra Fees |  Sun-Soaked 1 BR by Central Park with Gym, Terrace & Courtyard",476568387,Nice Stay NYC,Manhattan,Hell's Kitchen,40.7677499,-73.9837835,Entire home/apt,181,30,1,2022-12-13,0.35,9,132,1,
756693718808636235,MidTown Hotel Room,428576478,Ryan,Manhattan,Midtown,40.75315,-73.9717,Entire home/apt,316,2,0,,,4,90,0,
